index,id,group_id,phase_id,trial_phase
1039,10,2,2,55
1040,10,2,2,56
1041,10,2,2,57
1042,10,2,2,58
1043,10,2,2,59
1044,10,2,2,60
1045,10,2,2,61
1046,10,2,2,62
1047,10,2,2,63
1048,10,2,2,64
1049,10,2,2,65
1050,10,2,2,66
1051,10,2,2,67
1052,10,2,2,68
1053,10,2,2,69
1054,10,2,2,70
1055,10,2,2,71
1056,10,2,2,72
1057,10,2,3,1
1058,10,2,3,2
1059,10,2,3,3
1060,10,2,3,4
1061,10,2,3,5
1062,10,2,3,6
1063,10,2,3,7
1064,10,2,3,8
1065,10,2,3,9
1066,10,2,3,10
1067,10,2,3,11
1068,10,2,3,12
1069,10,2,4,1
1070,10,2,4,2
1071,10,2,4,3
1072,10,2,4,4
1073,10,2,4,5
1074,10,2,4,6
1075,10,2,4,7
1076,10,2,4,8
1077,10,2,4,9
1078,10,2,4,10
1079,10,2,4,11
1080,10,2,4,12
1081,11,1,0,1
1082,11,1,0,2
1083,11,1,0,3
1084,11,1,0,4
1085,11,1,0,5
1086,11,1,0,6
1087,11,1,0,7
1088,11,1,0,8
1089,11,1,0,9
1090,11,1,0,10
1091,11,1,0,11
1092,11,1,0,12
1093,11,1,2,1
1094,11,1,2,2
1095,11,1,2,3
1096,11,1,2,4
1097,11,1,2,5
1098,11,1,2,6
1099,11,1,2,7
1100,11,1,2,8
1101,11,1,2,9
1102,11,1,2,10
1103,11,1,2,11
1104,11,1,2,12
1105,11,1,2,13
1106,11,1,2,14
1107,11,1,2,15
1108,11,1,2,16
1109,11,1,2,17
1110,11,1,2,18
1111,11,1,2,19
1112,11,1,2,20
1113,11,1,2,21
1114,11,1,2,22
1115,11,1,2,23
1116,11,1,2,24
1117,11,1,2,25
1118,11,1,2,26
1119,11,1,2,27
1120,11,1,2,28
1121,11,1,2,29
1122,11,1,2,30
1123,11,1,2,31
1124,11,1,2,32
1125,11,1,2,33
1126,11,1,2,34
1127,11,1,2,35
1128,11,1,2,36
1129,11,1,2,37
1130,11,1,2,38
1131,11,1,2,39
1132,11,1,2,40
1133,11,1,2,41
1134,11,1,2,42
1135,11,1,2,43
1136,11,1,2,44
1137,11,1,2,45
1138,11,1,2,46
1139,11,1,2,47
1140,11,1,2,48
1141,11,1,2,49
1142,11,1,2,50
1143,11,1,2,51
1144,11,1,2,52
1145,11,1,2,53
1146,11,1,2,54
1147,11,1,2,55
1148,11,1,2,56
1149,11,1,2,57
1150,11,1,2,58
1151,11,1,2,59
1152,11,1,2,60
1153,11,1,2,61
1154,11,1,2,62
1155,11,1,2,63
1156,11,1,2,64
